date,category,node_count,inflow,outflow,within_sector_exposure,cross_sector_inflow,cross_sector_outflow,activity,log_activity,net_inflow,exposure_shift_ratio,contraction_score,network_degree,network_pressure,connection_concentration,forecast_date,target_contraction_next_week,contraction_lag_1,contraction_lag_2,contraction_lag_3,contraction_lag_4,sample
2023-07-10,Privacy & Security,13,5352900.593100011,2129926.471860002,816484.6417600019,4536415.951340009,1313441.8301,7482827.064960013,15.828121362045888,3222974.1212400096,0.4307161041222369,-0.4307161041222369,6,0.3877543142320409,0.7349931593940837,2023-07-17,0.5796944162743676,-0.4307161041222369,0.8830413752580994,0.080152730355393,-0.7441379223064329,training
2023-07-17,Privacy & Security,13,2542102.2671299987,9554345.486890016,1336090.555939998,1206011.7111900006,8218254.930950018,12096447.754020017,16.308422476086633,-7012243.2197600175,-0.5796944162743676,0.5796944162743676,6,-0.37489135732302775,0.857026327777765,2023-07-24,-0.0732576673334345,0.5796944162743676,-0.4307161041222369,0.8830413752580994,0.080152730355393,training
2023-07-24,Privacy & Security,13,2769293.4870400163,2391244.5111099947,1050311.8278199984,1718981.659220018,1340932.6832899963,5160537.998150012,15.456551589008308,378048.9759300216,0.0732576673334345,-0.0732576673334345,6,-0.10525046935174424,0.780579876039625,2023-07-31,-0.4587216454446224,-0.0732576673334345,0.5796944162743676,-0.4307161041222369,0.8830413752580994,training
2023-07-31,Privacy & Security,13,4098728.265210013,1520888.4423499953,124330.76415999696,3974397.501050016,1396557.6781899985,5619616.707560008,15.541774195990332,2577839.8228600184,0.4587216454446224,-0.4587216454446224,6,-0.1009593719319935,0.7685222700507038,2023-08-07,-0.0846939984009736,-0.4587216454446224,-0.0732576673334345,0.5796944162743676,-0.4307161041222369,training
2023-08-07,Privacy & Security,12,5350758.883389998,4515173.612369988,2705293.0094000003,2645465.873989998,1809880.602969988,9865932.495759986,16.10459832000305,835585.2710200101,0.0846939984009736,-0.0846939984009736,6,0.28628074693988004,0.8767131794985069,2023-08-14,0.8435795350775803,-0.0846939984009736,-0.4587216454446224,-0.0732576673334345,0.5796944162743676,training
2023-08-14,Privacy & Security,12,2999363.870109999,35350654.73643999,2498164.43782,501199.432289999,32852490.29861999,38350018.60654999,17.462265597030342,-32351290.86632999,-0.8435795350775803,0.8435795350775803,6,-0.7300303575810049,0.9572355320992516,2023-08-21,0.6945326883007757,0.8435795350775803,-0.0846939984009736,-0.4587216454446224,-0.0732576673334345,training
2023-08-21,Privacy & Security,12,2756258.6460299995,15289918.738369975,2089629.8728999973,666628.773130002,13200288.86546998,18046177.384399977,16.70844449647055,-12533660.092339978,-0.6945326883007757,0.6945326883007757,6,-0.2181794168368588,0.9342704237365073,2023-08-28,0.3811662050844096,0.6945326883007757,0.8435795350775803,-0.0846939984009736,-0.4587216454446224,training
2023-08-28,Privacy & Security,12,2816575.2580899987,6286273.620660015,1498130.8692599991,1318444.3888299996,4788142.751400016,9102848.878750017,16.02409809594751,-3469698.3625700166,-0.3811662050844096,0.3811662050844096,6,-0.06338262362804324,0.8323563115913747,2023-09-04,0.2148482477961169,0.3811662050844096,0.6945326883007757,0.8435795350775803,-0.0846939984009736,training
2023-09-04,Privacy & Security,12,2664972.3470799974,4123453.812829978,534972.3338599986,2130000.0132199987,3588481.47896998,6788426.159909976,15.730729832040767,-1458481.4657499809,-0.2148482477961169,0.2148482477961169,5,0.04551600606647447,0.8400911523210787,2023-09-11,0.2132042454251569,0.2148482477961169,0.3811662050844096,0.6945326883007757,0.8435795350775803,training
2023-09-11,Privacy & Security,12,3093529.3619000018,4770085.417189997,2239402.5046800007,854126.857220001,2530682.912509996,7863614.779089998,15.877757081412334,-1676556.055289995,-0.2132042454251569,0.2132042454251569,5,0.4428225947467235,0.7649057370918604,2023-09-18,0.169187868938239,0.2132042454251569,0.2148482477961169,0.3811662050844096,0.6945326883007757,training
